Date,Close
2011-4-15,100065
2011-4-18,100155
2011-4-19,100190
2011-4-20,100125
2011-4-21,100050
2011-4-22,100060
2011-4-25,99960
2011-4-26,100015
2011-4-27,99985
2011-4-28,100020
2011-4-29,100160
2011-5-2,100140
2011-5-3,100175
2011-5-4,100155
2011-5-6,100300
2011-5-9,100235
2011-5-11,100285
2011-5-12,100485
2011-5-13,100580
2011-5-16,100500
2011-5-17,100630
2011-5-18,100575
2011-5-19,100625
2011-5-20,100635
2011-5-23,100575
2011-5-24,100730
2011-5-25,100725
2011-5-26,100835
2011-5-27,100850
2011-5-30,100820
2011-5-31,100950
2011-6-1,100840
2011-6-2,101005
2011-6-3,101050
2011-6-7,101050
2011-6-8,100365
2011-6-9,100460
2011-6-10,100240
2011-6-13,100235
2011-6-14,100240
2011-6-15,100285
2011-6-16,100380
2011-6-17,100405
2011-6-20,100360
2011-6-21,100400
2011-6-22,100425
2011-6-23,100475
2011-6-24,100440
2011-6-27,100400
2011-6-28,100385
2011-6-29,100365
2011-6-30,100390
2011-7-1,100375
2011-7-4,100375
2011-7-5,100405
2011-7-6,100445
2011-7-7,100415
2011-7-8,100365
2011-7-11,100440
2011-7-12,100600
2011-7-13,100675
2011-7-14,100700
2011-7-15,100715
2011-7-18,100740
2011-7-19,100730
2011-7-20,100690
2011-7-21,100720
2011-7-22,100650
2011-7-25,100600
2011-7-26,100570
2011-7-27,100580
2011-7-28,100665
2011-7-29,100630
2011-8-1,100580
2011-8-2,100555
2011-8-3,100710
2011-8-4,100865
2011-8-5,101085
2011-8-8,101150
2011-8-9,101160
2011-8-10,101270
2011-8-16,101250
2011-8-19,101240
2011-8-22,101320
2011-8-23,101330
2011-8-24,101290
2011-8-25,101370
2011-8-26,101350
2011-8-29,101330
2011-8-30,101260
2011-8-31,101320
2011-9-1,101340
2011-9-2,101400
2011-9-5,101540
2011-9-6,101600
2011-9-7,101510
2011-9-8,101575
2011-9-9,101600
2011-9-14,101640
2011-9-15,101710
2011-9-16,101555
2011-9-19,101485
2011-9-20,101390
2011-9-21,101505
2011-9-22,101520
2011-9-23,101495
2011-9-26,101540
2011-9-27,101560
2011-9-28,101470
2011-9-29,101470
2011-9-30,101460
2011-10-4,101520
2011-10-5,101650
2011-10-6,101740
2011-10-7,101710
2011-10-10,101670
2011-10-11,101675
2011-10-12,101710
2011-10-13,101820
2011-10-14,101870
2011-10-17,101815
2011-10-19,101735
2011-10-20,101845
2011-10-21,101885
2011-10-24,101800
2011-10-25,101750
2011-10-26,101790
2011-10-27,101840
2011-10-28,101770
2011-10-31,101830
2011-11-1,101950
2011-11-2,101980
2011-11-4,102105
2011-11-7,102140
2011-11-8,102200
2011-11-9,102255
2011-11-10,102345
2011-11-11,102415
2011-11-14,102350
2011-11-15,102380
2011-11-16,102470
2011-11-17,102430
2011-11-18,102560
2011-11-21,102560
2011-11-22,102565
2011-11-23,102650
2011-11-24,102670
2011-11-25,102640
2011-11-28,102705
2011-11-29,102750
2011-11-30,102830
2011-12-1,102900
2011-12-2,102900
2011-12-5,102950
2011-12-6,102950
2011-12-7,100425
2011-12-8,100430
2011-12-9,100445
2011-12-12,100515
2011-12-13,100550
2011-12-14,100560
2011-12-15,100620
2011-12-16,100605
2011-12-19,100485
2011-12-20,100500
2011-12-21,100580
2011-12-22,100500
2011-12-23,100475
2011-12-26,100535
2011-12-27,100460
2011-12-28,100490
2011-12-29,100655
2012-1-2,100605
2012-1-3,100690
2012-1-4,100705
2012-1-5,100685
2012-1-6,100720
2012-1-9,100700
2012-1-10,100700
2012-1-11,101020
2012-1-12,100695
2012-1-13,100730
2012-1-16,100800
2012-1-17,100820
2012-1-18,100780
2012-1-19,100810
2012-1-20,100900
2012-1-25,100915
2012-1-26,100980
2012-1-27,100940
2012-1-30,101075
2012-1-31,101100
2012-2-1,101140
2012-2-2,101170
2012-2-3,101215
2012-2-6,101190
2012-2-7,101190
2012-2-8,101145
2012-2-9,101140
2012-2-10,101135
2012-2-13,101090
2012-2-14,101130
2012-2-15,101235
2012-2-16,101230
2012-2-17,101295
2012-2-20,101310
2012-2-21,101300
2012-2-22,101300
2012-2-23,101330
2012-2-24,101385
2012-2-27,101460
2012-2-28,101500
2012-2-29,101500
2012-3-2,101405
2012-3-5,101405
2012-3-6,101390
2012-3-7,101440
2012-3-8,101535
2012-3-9,101515
2012-3-12,101530
2012-3-13,101635
2012-3-14,101560
2012-3-15,101555
2012-3-16,101520
2012-3-19,101450
2012-3-20,101500
2012-3-21,101490
2012-3-22,101500
2012-3-23,101500
2012-3-26,101495
2012-3-27,101535
2012-3-28,101570
2012-3-29,101710
2012-3-30,101760
2012-4-2,101770
2012-4-3,101790
2012-4-4,101815
2012-4-5,101945
2012-4-6,101920
2012-4-9,101930
2012-4-10,102055
2012-4-12,102065
2012-4-13,101975
2012-4-16,102165
2012-4-17,102165
2012-4-18,102180
2012-4-19,102210
2012-4-20,102210
2012-4-23,102255
2012-4-24,102255
2012-4-25,102265
2012-4-26,102325
2012-4-27,102380
2012-4-30,102400
2012-5-2,102430
2012-5-3,102515
2012-5-4,102550
2012-5-7,102540
2012-5-8,102610
2012-5-9,102690
2012-5-10,102670
2012-5-11,102615
2012-5-14,102655
2012-5-15,102750
2012-5-16,102710
2012-5-17,102780
2012-5-18,102725
2012-5-21,102840
2012-5-22,102850
2012-5-23,102850
2012-5-24,102880
2012-5-25,102880
2012-5-29,102985
2012-5-30,103000
2012-5-31,103105
2012-6-1,103140
2012-6-4,103130
2012-6-5,100950
2012-6-7,101000
2012-6-8,101100
2012-6-11,100955
2012-6-12,101025
2012-6-13,100995
2012-6-14,101100
2012-6-15,101065
2012-6-18,101015
2012-6-19,101050
2012-6-20,101005
2012-6-21,100970
2012-6-22,101010
2012-6-25,101040
2012-6-26,101045
2012-6-27,101070
2012-6-28,101025
2012-6-29,101070
2012-7-2,101055
2012-7-3,101075
2012-7-4,101100
2012-7-5,101070
2012-7-6,101135
2012-7-9,101145
2012-7-10,101265
2012-7-11,101285
2012-7-12,101720
2012-7-13,101795
2012-7-16,101830
2012-7-17,101900
2012-7-18,102005
2012-7-19,102090
2012-7-20,102010
2012-7-23,102225
2012-7-24,102230
2012-7-25,102455
2012-7-26,102465
2012-7-27,102380
2012-7-30,102440
2012-7-31,102395
2012-8-1,102435
2012-8-2,102635
2012-8-3,102695
2012-8-6,102660
2012-8-7,102710
2012-8-8,102715
2012-8-9,102665
