Date,Close
2011-10-20,100045
2011-10-21,99600
2011-10-24,99255
2011-10-25,99450
2011-10-26,99595
2011-10-27,99440
2011-10-28,99335
2011-10-31,99830
2011-11-1,100185
2011-11-2,100255
2011-11-3,100370
2011-11-4,100215
2011-11-7,100305
2011-11-8,100555
2011-11-9,100660
2011-11-10,100845
2011-11-11,100520
2011-11-14,100205
2011-11-15,100405
2011-11-16,100805
2011-11-17,100580
2011-11-18,100745
2011-11-21,100680
2011-11-22,100825
2011-11-23,100925
2011-11-24,101040
2011-11-25,100655
2011-11-28,100580
2011-11-29,100610
2011-11-30,100855
2011-12-1,100745
2011-12-2,100825
2011-12-5,100325
2011-12-6,100295
2011-12-7,100305
2011-12-8,100140
2011-12-9,100290
2011-12-12,100250
2011-12-13,100370
2011-12-14,100425
2011-12-15,100460
2011-12-16,100400
2011-12-19,99810
2011-12-20,100120
2011-12-21,100180
2011-12-22,100170
2011-12-23,100170
2011-12-26,100175
2011-12-27,100130
2011-12-28,100280
2011-12-29,100725
2012-1-2,100630
2012-1-3,100605
2012-1-4,100540
2012-1-5,100695
2012-1-6,100780
2012-1-9,100710
2012-1-10,100655
2012-1-11,100700
2012-1-12,100735
2012-1-13,100775
2012-1-16,100795
2012-1-17,100750
2012-1-18,100795
2012-1-19,100815
2012-1-20,100620
2012-1-25,100715
2012-1-26,100750
2012-1-27,100750
2012-1-30,100985
2012-1-31,101120
2012-2-1,101155
2012-2-2,101100
2012-2-3,101150
2012-2-6,100990
2012-2-7,100930
2012-2-8,100680
2012-2-9,100720
2012-2-10,100800
2012-2-13,100740
2012-2-14,100815
2012-2-15,100810
2012-2-16,100990
2012-2-17,100815
2012-2-20,100685
2012-2-21,100805
2012-2-22,100755
2012-2-23,100815
2012-2-24,100895
2012-2-27,100950
2012-2-28,101140
2012-2-29,101085
2012-3-2,100890
2012-3-5,100680
2012-3-6,100640
2012-3-7,100635
2012-3-8,100635
2012-3-9,100795
2012-3-12,100950
2012-3-13,100940
2012-3-14,100690
2012-3-15,100515
2012-3-16,100210
