Date,Close
2014-3-24,10000
2014-3-26,10010
2014-3-28,10010
2014-3-31,10010
2014-4-1,10015
2014-4-2,10015
2014-4-3,10015
2014-4-4,10020
2014-4-7,10025
2014-4-8,10025
2014-4-9,10020
2014-4-10,10020
2014-4-11,10025
2014-4-14,10020
2014-4-16,10025
2014-4-17,10025
2014-4-18,10025
2014-4-21,10020
2014-4-22,10020
2014-4-23,10030
2014-4-24,10030
2014-4-25,10030
2014-4-28,10020
2014-4-29,10035
2014-4-30,10035
2014-5-2,10030
2014-5-7,10030
2014-5-8,10035
2014-5-9,10035
2014-5-12,10030
2014-5-13,10040
2014-5-14,10045
2014-5-15,10045
2014-5-16,10045
2014-5-19,10035
2014-5-20,10035
2014-5-21,10050
2014-5-22,10050
2014-5-23,10045
2014-5-26,10040
2014-5-27,10045
2014-5-28,10055
2014-5-29,10045
2014-5-30,10055
2014-6-2,10055
2014-6-3,10050
2014-6-5,10045
2014-6-9,10065
2014-6-10,10065
2014-6-11,10075
2014-6-13,10080
2014-6-16,10080
2014-6-17,10080
2014-6-18,10080
2014-6-19,10085
2014-6-20,10095
2014-6-23,10095
2014-6-24,10095
2014-6-25,10100
2014-6-26,10095
2014-6-27,10095
2014-6-30,10090
2014-7-1,10090
2014-7-2,10090
2014-7-3,10090
2014-7-4,10090
2014-7-7,10085
2014-7-8,10085
2014-7-9,10090
2014-7-10,10085
2014-7-11,10065
2014-7-14,10070
2014-7-15,10075
2014-7-16,10060
2014-7-17,10060
2014-7-18,10040
2014-7-21,10035
2014-7-22,10020
2014-7-24,10045
2014-7-25,10045
2014-7-28,10045
2014-7-29,10040
2014-7-30,10035
2014-7-31,10025
2014-8-1,9980
2014-8-4,9930
2014-8-5,9940
2014-8-6,9960
2014-8-7,9950
2014-8-8,9965
2014-8-11,9960
2014-8-12,9980
2014-8-13,9985
2014-8-14,10005
2014-8-18,10025
2014-8-19,10025
2014-8-20,10045
2014-8-21,10045
2014-8-22,10050
2014-8-25,10060
2014-8-26,10060
2014-8-27,10065
2014-8-28,10070
2014-8-29,10065
2014-9-1,10065
2014-9-2,10065
2014-9-3,10060
2014-9-4,10060
2014-9-5,10055
2014-9-11,10000
2014-9-12,10000
2014-9-15,9995
2014-9-16,9990
2014-9-17,10000
2014-9-18,10000
2014-9-19,10005
2014-9-22,10005
2014-9-23,10000
2014-9-24,9985
2014-9-25,9980
2014-9-26,9950
2014-9-29,9915
2014-9-30,9895
2014-10-2,9935
2014-10-6,9960
2014-10-7,9975
2014-10-8,9970
2014-10-10,9945
2014-10-13,9905
2014-10-14,9910
2014-10-15,9885
2014-10-16,9850
2014-10-17,9850
2014-10-20,9925
2014-10-21,9925
2014-10-27,9990
2014-10-28,9985
2014-10-29,9985
2014-10-30,9995
2014-10-31,9985
2014-11-3,10000
2014-11-4,10000
2014-11-5,9985
2014-11-6,9985
2014-11-7,9990
2014-11-10,9995
2014-11-11,9990
2014-11-12,9995
2014-11-13,9990
2014-11-14,9995
2014-11-17,9975
2014-11-18,9960
2014-11-19,9950
2014-11-20,9935
2014-11-21,9930
2014-11-25,9950
2014-11-26,9955
2014-11-27,9960
2014-11-28,9965
2014-12-1,9960
2014-12-2,9920
2014-12-3,9895
2014-12-4,9900
2014-12-8,9890
2014-12-9,9870
2014-12-10,9825
2014-12-11,9795
2014-12-12,9765
2014-12-15,9715
2014-12-16,9675
2014-12-17,9640
2014-12-18,9670
2014-12-19,9765
2014-12-22,9785
2014-12-23,9810
2014-12-26,10100
2015-1-2,9835
2015-1-5,9840
2015-1-6,9820
2015-1-8,9810
2015-1-9,9855
2015-1-12,9865
2015-1-13,9855
2015-1-15,9845
2015-1-16,9845
2015-1-19,9835
2015-1-21,9840
2015-1-22,9835
2015-1-23,9845
2015-1-27,9855
2015-1-29,9855
2015-1-30,9865
2015-2-2,9865
2015-2-3,9855
2015-2-4,9875
2015-2-6,9900
2015-2-9,9920
2015-2-10,9930
2015-2-12,9935
2015-2-13,9940
2015-2-17,9960
2015-2-23,9980
2015-2-24,9985
2015-2-25,10000
2015-2-26,10010
2015-2-27,10035
2015-3-2,10040
2015-3-3,10040
2015-3-4,10040
2015-3-5,10025
2015-3-6,10025
2015-3-9,10020
2015-3-10,10005
2015-3-11,9985
2015-3-12,9975
2015-3-13,9980
2015-3-16,9975
2015-3-17,9965
2015-3-18,9950
2015-3-19,9945
2015-3-20,9950
2015-3-23,9960
2015-3-24,9965
2015-3-26,9980
2015-3-30,9990
2015-3-31,9995
2015-4-1,10000
2015-4-2,9995
2015-4-6,9985
2015-4-7,9990
2015-4-8,10030
2015-4-13,10040
2015-4-14,10045
2015-4-15,10050
2015-4-20,10070
2015-4-21,10075
2015-4-22,10075
2015-4-23,10090
2015-4-27,10090
2015-4-28,10095
2015-4-29,10095
2015-4-30,10085
2015-5-6,10090
2015-5-7,10090
2015-5-8,10080
2015-5-11,10095
2015-5-12,10100
2015-5-13,10080
2015-5-14,10095
2015-5-18,10105
2015-5-19,10110
2015-5-21,10105
2015-5-22,10105
2015-5-26,10110
2015-5-27,10115
2015-5-28,10115
2015-6-1,10120
2015-6-3,10110
2015-6-9,10060
2015-6-10,10055
2015-6-11,10060
2015-6-15,10055
2015-6-17,10045
2015-6-19,10060
2015-6-22,10075
2015-6-24,10090
2015-6-25,10080
2015-6-26,10080
2015-6-29,10070
2015-6-30,10025
2015-7-1,10030
2015-7-2,10045
2015-7-6,10050
2015-7-7,10025
2015-7-9,9985
2015-7-10,9990
2015-7-15,10025
2015-7-16,10025
2015-7-21,9995
2015-7-22,9965
2015-7-23,9940
2015-7-24,9930
2015-7-27,9920
2015-7-28,9885
2015-7-29,9885
2015-7-30,9920
2015-8-3,9940
2015-8-6,9915
2015-8-11,9845
2015-8-12,9830
2015-8-17,9810
2015-8-18,9795
2015-8-19,9795
2015-8-20,9790
2015-8-21,9770
2015-8-24,9745
2015-8-25,9680
2015-9-3,9760
2015-9-7,9775
2015-9-9,9785
2015-9-10,9815
2015-9-11,9815
2015-9-14,9815
2015-9-15,9815
2015-9-16,9815
2015-9-21,9770
2015-9-23,9720
2015-9-24,9715
2015-9-30,9560
2015-10-1,9560
2015-10-2,9535
2015-10-5,9505
2015-10-6,9530
2015-10-7,9585
2015-10-8,9645
2015-10-12,9700
2015-10-13,9715
2015-10-21,9745
2015-10-26,9765
2015-10-27,9765
2015-10-28,9760
2015-11-2,9770
2015-11-3,9760
2015-11-4,9790
2015-11-5,9790
2015-11-6,9760
2015-11-9,9725
2015-11-10,9705
2015-11-17,9625
2015-11-20,9610
2015-11-24,9580
2015-11-25,9570
2015-11-27,9580
2015-11-30,9585
2015-12-8,9565
2015-12-9,9525
2015-12-10,9515
2015-12-11,9505
2015-12-14,9420
2015-12-15,9330
2015-12-16,9355
2015-12-17,9385
2015-12-21,9350
2015-12-22,9335
2015-12-23,9350
2015-12-28,9385
2015-12-29,9405
2015-12-30,9415
2016-1-4,9420
2016-1-5,9385
2016-1-7,9405
2016-1-11,9375
2016-1-13,9375
2016-1-14,9345
2016-1-15,9300
2016-1-18,9220
2016-1-19,9205
2016-1-20,9200
2016-1-21,9095
2016-1-25,9200
2016-1-26,9245
2016-1-27,9245
2016-1-29,9285
2016-2-1,9300
2016-2-3,9265
2016-2-4,9245
2016-2-5,9230
2016-2-11,9140
2016-2-12,9040
2016-2-15,9090
2016-2-17,9140
2016-2-19,9245
2016-2-22,9220
2016-2-24,9275
2016-2-25,9260
2016-2-26,9290
2016-3-2,9450
2016-3-4,9530
2016-3-7,9565
2016-3-8,9570
2016-3-9,9565
2016-3-10,9555
2016-3-14,9620
2016-3-15,9620
2016-3-16,9620
2016-3-17,9605
2016-3-18,9645
2016-3-21,9665
2016-3-22,9680
2016-3-23,9675
2016-3-24,9655
2016-3-28,9605
2016-3-29,9615
2016-4-1,9645
2016-4-6,9640
2016-4-11,9680
2016-4-12,9735
2016-4-14,9850
2016-4-19,9745
2016-4-21,9880
2016-4-22,9885
2016-5-2,9850
2016-5-3,9845
2016-5-9,9855
2016-5-10,9795
2016-5-16,9900
