Date,Close
1998. 4. 6 오후 6:00:00,3314.68
1998. 4. 7 오후 6:00:00,3325.81
1998. 4. 8 오후 6:00:00,3260.56
1998. 4. 9 오후 6:00:00,3264.15
1998. 4. 14 오후 6:00:00,3283.05
1998. 4. 15 오후 6:00:00,3289.71
1998. 4. 16 오후 6:00:00,3251.87
1998. 4. 17 오후 6:00:00,3267.75
1998. 4. 20 오후 6:00:00,3298.98
1998. 4. 21 오후 6:00:00,3294.93
1998. 4. 22 오후 6:00:00,3272.2
1998. 4. 23 오후 6:00:00,3226.14
1998. 4. 24 오후 6:00:00,3174.18
1998. 4. 27 오후 6:00:00,3061.04
1998. 4. 28 오후 6:00:00,3153.55
1998. 4. 29 오후 6:00:00,3118.37
1998. 4. 30 오후 6:00:00,3120.94
1998. 5. 4 오후 6:00:00,3309.96
1998. 5. 5 오후 6:00:00,3261.38
1998. 5. 6 오후 6:00:00,3262.55
1998. 5. 7 오후 6:00:00,3216.03
1998. 5. 8 오후 6:00:00,3255.78
1998. 5. 11 오후 6:00:00,3327.92
1998. 5. 12 오후 6:00:00,3290.86
1998. 5. 13 오후 6:00:00,3304.42
1998. 5. 14 오후 6:00:00,3305.41
1998. 5. 15 오후 6:00:00,3304.69
1998. 5. 18 오후 6:00:00,3253.33
1998. 5. 19 오후 6:00:00,3313.72
1998. 5. 20 오후 6:00:00,3352.25
1998. 5. 22 오후 6:00:00,3371.39
1998. 5. 25 오후 6:00:00,3422.42
1998. 5. 26 오후 6:00:00,3424.55
1998. 5. 27 오후 6:00:00,3340.51
1998. 5. 28 오후 6:00:00,3338.8
1998. 5. 29 오후 6:00:00,3357.77
1998. 6. 2 오후 6:00:00,3368.29
1998. 6. 3 오후 6:00:00,3399.22
1998. 6. 4 오후 6:00:00,3375.03
1998. 6. 5 오후 6:00:00,3421.55
1998. 6. 8 오후 6:00:00,3443.76
1998. 6. 9 오후 6:00:00,3415.77
1998. 6. 10 오후 6:00:00,3424.65
1998. 6. 11 오후 6:00:00,3393.76
1998. 6. 12 오후 6:00:00,3303.01
1998. 6. 15 오후 6:00:00,3253.91
1998. 6. 16 오후 6:00:00,3269.06
1998. 6. 17 오후 6:00:00,3330.55
1998. 6. 18 오후 6:00:00,3291.14
1998. 6. 19 오후 6:00:00,3258.16
1998. 6. 22 오후 6:00:00,3252.12
1998. 6. 23 오후 6:00:00,3309.48
1998. 6. 24 오후 6:00:00,3330.29
1998. 6. 25 오후 6:00:00,3391.94
1998. 6. 26 오후 6:00:00,3395.41
1998. 6. 29 오후 6:00:00,3431.06
1998. 6. 30 오후 6:00:00,3406.82
1998. 7. 1 오후 6:00:00,3464.96
1998. 7. 2 오후 6:00:00,3471.65
1998. 7. 3 오후 6:00:00,3506.45
1998. 7. 6 오후 6:00:00,3518.79
1998. 7. 7 오후 6:00:00,3530.93
1998. 7. 8 오후 6:00:00,3553.07
1998. 7. 9 오후 6:00:00,3542.2
1998. 7. 10 오후 6:00:00,3532.65
1998. 7. 13 오후 6:00:00,3551.74
1998. 7. 14 오후 6:00:00,3576.68
1998. 7. 15 오후 6:00:00,3602.83
1998. 7. 16 오후 6:00:00,3613.4
1998. 7. 17 오후 6:00:00,3658.48
1998. 7. 20 오후 6:00:00,3670.82
1998. 7. 21 오후 6:00:00,3649.96
1998. 7. 22 오후 6:00:00,3582.12
1998. 7. 23 오후 6:00:00,3582.16
1998. 7. 24 오후 6:00:00,3570.67
1998. 7. 27 오후 6:00:00,3512.62
1998. 7. 28 오후 6:00:00,3499.87
