"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","1,299.28","1,323.90","1,332.90","1,291.28","154.52M","-0.27%"
"04/27/2023","1,302.81","1,256.19","1,304.88","1,243.26","107.71M","3.96%"
"04/26/2023","1,253.15","1,258.37","1,279.59","1,247.98","147.03M","-0.61%"
"04/25/2023","1,260.86","1,292.56","1,296.36","1,244.48","154.94M","-1.96%"
"04/24/2023","1,286.08","1,300.70","1,310.90","1,281.59","136.02M","-1.42%"
"04/21/2023","1,304.65","1,330.62","1,338.40","1,303.93","114.74M","-2.18%"
"04/20/2023","1,333.72","1,361.39","1,364.26","1,333.00","133.11M","-2.68%"
"04/19/2023","1,370.38","1,377.08","1,384.46","1,370.38","145.80M","-0.79%"
"04/18/2023","1,381.32","1,382.33","1,383.51","1,365.62","243.02M","-0.03%"
"04/17/2023","1,381.72","1,378.43","1,382.10","1,363.18","213.59M","0.42%"
"04/14/2023","1,375.97","1,376.59","1,386.98","1,370.38","207.02M","1.10%"
"04/13/2023","1,361.04","1,346.21","1,368.04","1,332.56","164.97M","0.04%"
"04/12/2023","1,360.56","1,384.05","1,390.65","1,359.57","229.56M","-2.20%"
"04/11/2023","1,391.23","1,383.54","1,396.68","1,356.01","226.18M","1.60%"
"04/10/2023","1,369.32","1,334.54","1,379.72","1,330.50","153.65M","3.02%"
"04/07/2023","1,329.15","1,308.90","1,329.58","1,298.53","138.21M","2.52%"
"04/06/2023","1,296.49","1,293.61","1,303.03","1,284.60","119.37M","-0.20%"
"04/05/2023","1,299.07","1,267.62","1,299.53","1,264.57","124.20M","2.44%"
"04/04/2023","1,268.07","1,262.17","1,273.30","1,259.26","128.23M","0.12%"
"04/03/2023","1,266.51","1,264.73","1,273.04","1,259.33","161.15M","0.50%"
"03/31/2023","1,260.21","1,249.97","1,260.31","1,243.51","201.65M","0.71%"
"03/30/2023","1,251.33","1,251.37","1,261.43","1,246.18","205.86M","1.01%"
"03/29/2023","1,238.82","1,216.45","1,238.82","1,214.94","232.96M","1.83%"
"03/28/2023","1,216.61","1,219.10","1,219.10","1,205.52","184.79M","0.19%"
"03/27/2023","1,214.28","1,218.36","1,222.99","1,199.64","112.95M","0.28%"
"03/24/2023","1,210.94","1,210.48","1,212.24","1,193.35","137.81M","1.26%"
"03/23/2023","1,195.88","1,184.25","1,221.44","1,182.37","120.25M","-0.03%"
"03/22/2023","1,196.25","1,191.19","1,197.93","1,183.51","94.65M","1.83%"
"03/21/2023","1,174.77","1,183.67","1,187.88","1,174.17","95.80M","-0.10%"
"03/20/2023","1,175.94","1,157.16","1,179.60","1,152.68","106.61M","0.46%"
"03/17/2023","1,170.57","1,169.68","1,172.97","1,153.85","146.29M","1.48%"
"03/16/2023","1,153.48","1,155.26","1,163.73","1,129.52","119.84M","-0.15%"
"03/15/2023","1,155.19","1,147.59","1,159.51","1,138.28","75.19M","3.51%"
"03/14/2023","1,116.04","1,158.74","1,161.43","1,116.04","87.25M","-3.51%"
"03/13/2023","1,156.69","1,141.64","1,158.22","1,127.55","127.75M","0.83%"
"03/10/2023","1,147.19","1,157.39","1,162.39","1,141.60","114.98M","-2.98%"
"03/09/2023","1,182.41","1,192.85","1,193.14","1,165.54","149.94M","-0.49%"
"03/08/2023","1,188.23","1,172.52","1,195.34","1,171.36","141.10M","0.19%"
"03/07/2023","1,186.01","1,180.47","1,196.40","1,176.03","110.02M","-0.10%"
"03/06/2023","1,187.20","1,178.34","1,188.27","1,167.99","99.44M","2.25%"
"03/03/2023","1,161.02","1,137.94","1,161.50","1,135.85","87.90M","2.95%"
"03/02/2023","1,127.77","1,145.93","1,156.81","1,127.27","84.01M","-1.34%"
"02/28/2023","1,143.05","1,128.00","1,147.79","1,125.28","69.48M","1.97%"
"02/27/2023","1,120.92","1,107.35","1,124.53","1,100.55","70.00M","0.35%"
"02/24/2023","1,116.97","1,126.82","1,129.43","1,110.21","66.95M","-0.89%"
"02/23/2023","1,127.00","1,129.07","1,133.85","1,110.70","54.29M","0.45%"
"02/22/2023","1,121.96","1,132.74","1,142.89","1,115.03","92.59M","-2.73%"
"02/21/2023","1,153.41","1,146.04","1,153.41","1,138.65","97.86M","0.66%"
"02/20/2023","1,145.86","1,116.75","1,147.63","1,112.97","130.58M","2.95%"
"02/17/2023","1,113.06","1,115.26","1,126.54","1,106.98","94.78M","-2.02%"
"02/16/2023","1,136.02","1,107.46","1,136.57","1,105.97","116.16M","3.91%"
"02/15/2023","1,093.31","1,115.82","1,122.22","1,090.76","89.91M","-1.61%"
"02/14/2023","1,111.22","1,107.23","1,111.87","1,097.06","64.05M","1.40%"
"02/13/2023","1,095.91","1,092.21","1,102.26","1,088.95","58.11M","0.02%"
"02/10/2023","1,095.66","1,107.54","1,115.42","1,093.94","82.29M","-1.36%"
"02/09/2023","1,110.82","1,088.59","1,111.25","1,088.17","69.46M","1.43%"
"02/08/2023","1,095.20","1,093.29","1,097.08","1,090.14","61.92M","0.91%"
"02/07/2023","1,085.28","1,064.17","1,089.84","1,063.46","75.83M","2.30%"
"02/06/2023","1,060.91","1,063.04","1,071.91","1,060.44","55.57M","-0.99%"
"02/03/2023","1,071.57","1,066.28","1,075.35","1,061.11","72.44M","0.38%"
"02/02/2023","1,067.55","1,062.92","1,069.68","1,057.13","66.43M","2.11%"
"02/01/2023","1,045.49","1,029.29","1,049.18","1,026.72","68.34M","2.34%"
"01/31/2023","1,021.60","1,014.11","1,022.73","1,008.63","57.46M","0.14%"
"01/30/2023","1,020.13","1,030.93","1,039.26","1,017.65","45.71M","-0.85%"
"01/27/2023","1,028.90","1,031.73","1,033.43","1,025.58","60.22M","-0.06%"
"01/26/2023","1,029.48","1,016.98","1,029.48","1,012.77","65.64M","1.54%"
"01/25/2023","1,013.85","1,005.76","1,014.46","1,005.07","67.74M","2.18%"
"01/20/2023","992.23","985.68","994.14","982.57","40.03M","0.44%"
"01/19/2023","987.91","978.07","988.38","973.76","39.55M","0.17%"
"01/18/2023","986.26","984.93","989.41","980.68","37.68M","0.31%"
"01/17/2023","983.20","998.15","1,002.11","981.60","47.22M","-1.80%"
"01/16/2023","1,001.22","998.58","1,004.89","994.58","60.10M","0.75%"
"01/13/2023","993.77","997.98","1,003.73","988.80","56.70M","-0.33%"
"01/12/2023","997.11","1,000.62","1,001.93","989.34","46.34M","0.27%"
"01/11/2023","994.46","981.08","997.31","981.08","43.11M","2.45%"
"01/10/2023","970.69","983.45","990.95","970.62","43.92M","-1.81%"
"01/09/2023","988.55","981.43","991.26","981.43","43.76M","1.80%"
"01/06/2023","971.08","947.77","974.95","946.19","45.21M","1.86%"
"01/05/2023","953.34","965.53","969.44","949.16","40.45M","-1.00%"
"01/04/2023","963.01","945.46","963.81","939.83","40.73M","0.81%"
"01/03/2023","955.23","952.93","958.38","936.69","42.92M","0.53%"
"01/02/2023","950.22","968.37","976.90","946.65","41.69M","-0.79%"
"12/29/2022","957.78","973.94","978.16","949.90","53.59M","-1.93%"
"12/28/2022","976.59","997.41","998.31","973.47","73.22M","-3.24%"
"12/27/2022","1,009.32","1,001.02","1,011.75","997.91","70.62M","1.51%"
"12/26/2022","994.28","981.16","996.23","972.27","50.42M","1.55%"
"12/23/2022","979.06","995.88","997.97","979.03","58.28M","-3.79%"
"12/22/2022","1,017.63","1,004.32","1,018.46","1,000.09","39.05M","2.31%"
"12/21/2022","994.68","997.86","1,001.42","987.12","30.93M","0.64%"
"12/20/2022","988.32","1,006.07","1,008.34","986.24","34.42M","-2.14%"
"12/19/2022","1,009.92","1,009.23","1,019.62","1,005.67","31.56M","-0.05%"
"12/16/2022","1,010.47","1,000.44","1,016.67","999.55","41.14M","-0.99%"
"12/15/2022","1,020.61","1,029.30","1,037.04","1,019.05","39.17M","-1.75%"
"12/14/2022","1,038.78","1,021.11","1,039.91","1,021.11","49.30M","2.28%"
"12/13/2022","1,015.62","1,019.80","1,022.05","1,008.94","44.28M","0.01%"
"12/12/2022","1,015.50","1,018.11","1,022.16","1,013.14","40.93M","-0.97%"
"12/09/2022","1,025.41","1,024.20","1,030.11","1,014.74","62.49M","1.07%"
"12/08/2022","1,014.56","1,020.41","1,024.00","1,014.56","61.09M","-0.47%"
"12/07/2022","1,019.39","1,013.84","1,029.90","1,009.31","47.05M","-0.01%"
"12/06/2022","1,019.51","1,028.66","1,031.87","1,019.51","69.29M","-2.18%"
"12/05/2022","1,042.28","1,043.67","1,050.94","1,036.47","53.50M","0.60%"
"12/02/2022","1,036.08","1,054.80","1,055.41","1,036.08","52.15M","-2.12%"
"12/01/2022","1,058.54","1,062.76","1,070.90","1,056.49","63.78M","1.94%"
"11/30/2022","1,038.42","1,034.84","1,039.31","1,025.15","82.19M","0.06%"
"11/29/2022","1,037.75","1,014.72","1,039.91","1,011.41","53.89M","1.80%"
"11/28/2022","1,019.36","1,039.40","1,039.40","1,017.10","47.33M","-2.50%"
"11/25/2022","1,045.54","1,055.27","1,055.62","1,045.29","29.89M","-1.15%"
"11/24/2022","1,057.67","1,044.84","1,060.41","1,044.35","40.02M","1.72%"
"11/23/2022","1,039.74","1,025.86","1,039.85","1,025.22","41.05M","2.51%"
"11/22/2022","1,014.24","1,024.15","1,029.48","1,013.73","39.97M","-1.32%"
"11/21/2022","1,027.84","1,052.34","1,054.41","1,025.76","43.87M","-2.21%"
"11/18/2022","1,051.11","1,065.01","1,071.49","1,049.40","49.22M","-1.14%"
"11/17/2022","1,063.23","1,067.18","1,073.58","1,060.32","46.34M","-0.95%"
"11/16/2022","1,073.48","1,082.19","1,083.06","1,067.94","61.57M","-0.59%"
"11/15/2022","1,079.85","1,048.97","1,079.85","1,048.97","79.61M","3.08%"
"11/14/2022","1,047.59","1,056.43","1,057.25","1,044.37","108.23M","-0.81%"
"11/11/2022","1,056.17","1,041.41","1,059.26","1,039.18","94.94M","5.30%"
"11/10/2022","1,003.01","1,007.88","1,013.80","1,001.78","55.32M","-1.60%"
"11/09/2022","1,019.36","1,023.85","1,026.09","1,013.69","54.32M","-0.20%"
"11/08/2022","1,021.39","1,001.91","1,021.39","1,001.70","66.73M","2.45%"
"11/07/2022","996.95","989.20","997.64","986.66","42.26M","1.16%"
"11/04/2022","985.48","981.44","987.06","970.46","57.74M","-0.22%"
"11/03/2022","987.63","979.56","994.43","978.17","33.67M","-1.33%"
"11/02/2022","1,000.92","1,000.65","1,003.93","994.85","60.36M","-0.66%"
"11/01/2022","1,007.58","1,005.90","1,009.66","999.49","40.71M","0.08%"
"10/31/2022","1,006.82","1,004.90","1,006.82","994.33","31.93M","1.42%"
"10/28/2022","992.70","995.98","1,007.24","992.70","48.94M","-1.27%"
"10/27/2022","1,005.45","990.05","1,005.51","990.05","52.53M","2.20%"
"10/26/2022","983.84","990.38","994.81","983.22","47.86M","-0.46%"
"10/25/2022","988.43","990.92","1,000.20","983.21","62.78M","-0.07%"
"10/24/2022","989.09","982.19","994.23","982.19","57.44M","3.15%"
"10/21/2022","958.87","956.81","969.13","955.85","45.01M","-0.30%"
"10/20/2022","961.72","976.07","983.06","954.80","42.23M","-2.13%"
"10/19/2022","982.64","996.00","1,011.70","982.00","65.56M","-1.54%"
"10/18/2022","998.00","990.41","998.79","975.36","101.18M","2.62%"
"10/17/2022","972.51","955.34","974.04","951.85","49.58M","-0.10%"
"10/14/2022","973.46","956.45","976.62","953.16","65.80M","4.38%"
"10/13/2022","932.60","951.07","952.88","929.34","42.72M","-2.26%"
"10/12/2022","954.19","946.68","957.02","940.01","39.17M","1.06%"
"10/11/2022","944.15","959.15","959.15","943.34","42.96M","-3.96%"
"10/07/2022","983.06","988.41","1,000.73","983.06","38.29M","-1.73%"
"10/06/2022","1,000.40","978.25","1,001.65","976.58","33.16M","3.21%"
