Date,Close
1980. 1. 2 오후 4:00:00,105.76
1980. 1. 3 오후 4:00:00,105.22
1980. 1. 4 오후 4:00:00,106.52
1980. 1. 7 오후 4:00:00,106.81
1980. 1. 8 오후 4:00:00,108.95
1980. 1. 9 오후 4:00:00,109.05
1980. 1. 10 오후 4:00:00,109.89
1980. 1. 11 오후 4:00:00,109.92
1980. 1. 14 오후 4:00:00,110.38
1980. 1. 15 오후 4:00:00,111.14
1980. 1. 16 오후 4:00:00,111.05
1980. 1. 17 오후 4:00:00,110.7
1980. 1. 18 오후 4:00:00,111.07
1980. 1. 21 오후 4:00:00,112.1
1980. 1. 22 오후 4:00:00,111.51
1980. 1. 23 오후 4:00:00,113.44
1980. 1. 24 오후 4:00:00,113.7
1980. 1. 25 오후 4:00:00,113.61
1980. 1. 28 오후 4:00:00,114.85
1980. 1. 29 오후 4:00:00,114.07
1980. 1. 30 오후 4:00:00,115.2
1980. 1. 31 오후 4:00:00,114.16
1980. 2. 1 오후 4:00:00,115.12
1980. 2. 4 오후 4:00:00,114.37
1980. 2. 5 오후 4:00:00,114.66
1980. 2. 6 오후 4:00:00,115.72
1980. 2. 7 오후 4:00:00,116.28
1980. 2. 8 오후 4:00:00,117.95
1980. 2. 11 오후 4:00:00,117.12
1980. 2. 12 오후 4:00:00,117.9
1980. 2. 13 오후 4:00:00,118.44
1980. 2. 14 오후 4:00:00,116.72
1980. 2. 15 오후 4:00:00,115.41
1980. 2. 19 오후 4:00:00,114.6
1980. 2. 20 오후 4:00:00,116.47
1980. 2. 21 오후 4:00:00,115.28
1980. 2. 22 오후 4:00:00,115.04
1980. 2. 25 오후 4:00:00,113.33
1980. 2. 26 오후 4:00:00,113.98
1980. 2. 27 오후 4:00:00,112.38
1980. 2. 28 오후 4:00:00,112.35
1980. 2. 29 오후 4:00:00,113.66
1980. 3. 3 오후 4:00:00,112.5
1980. 3. 4 오후 4:00:00,112.78
1980. 3. 5 오후 4:00:00,111.13
1980. 3. 6 오후 4:00:00,108.65
1980. 3. 7 오후 4:00:00,106.9
1980. 3. 10 오후 4:00:00,106.51
1980. 3. 11 오후 4:00:00,107.78
1980. 3. 12 오후 4:00:00,106.87
1980. 3. 13 오후 4:00:00,105.62
1980. 3. 14 오후 4:00:00,105.43
1980. 3. 17 오후 4:00:00,102.26
1980. 3. 18 오후 4:00:00,104.1
1980. 3. 19 오후 4:00:00,104.31
1980. 3. 20 오후 4:00:00,103.12
1980. 3. 21 오후 4:00:00,102.31
1980. 3. 24 오후 4:00:00,99.28
1980. 3. 25 오후 4:00:00,99.19
