"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","4.370","4.220","4.400","4.200","3.10M","3.55%"
"04/27/2023","4.220","4.240","4.320","4.170","2.63M","0.72%"
"04/26/2023","4.190","4.320","4.370","4.140","2.34M","-3.23%"
"04/25/2023","4.330","4.500","4.500","4.320","2.40M","-5.25%"
"04/24/2023","4.570","4.470","4.600","4.430","1.82M","2.24%"
"04/21/2023","4.470","4.560","4.580","4.420","2.53M","-2.19%"
"04/20/2023","4.570","4.630","4.640","4.480","2.33M","-3.59%"
"04/19/2023","4.740","4.800","4.800","4.630","2.10M","-2.87%"
"04/18/2023","4.880","4.900","4.920","4.770","2.22M","-0.61%"
"04/17/2023","4.910","5.170","5.175","4.870","2.59M","-4.29%"
"04/14/2023","5.130","5.260","5.320","5.030","2.58M","-3.02%"
"04/13/2023","5.290","5.140","5.360","5.125","2.01M","3.12%"
"04/12/2023","5.130","5.160","5.205","5.090","1.35M","0.00%"
"04/11/2023","5.130","5.110","5.160","5.005","1.79M","1.38%"
"04/10/2023","5.060","5.100","5.220","5.040","2.00M","0.00%"
"04/06/2023","5.060","5.230","5.300","5.060","2.17M","-4.89%"
"04/05/2023","5.320","5.360","5.460","5.220","1.97M","-2.39%"
"04/04/2023","5.450","5.530","5.530","5.290","3.14M","-0.55%"
"04/03/2023","5.480","5.500","5.640","5.340","4.70M","7.87%"
"03/31/2023","5.080","5.100","5.120","5.010","1.31M","1.40%"
"03/30/2023","5.010","5.140","5.170","4.980","1.51M","-1.76%"
"03/29/2023","5.100","5.140","5.160","5.040","2.28M","1.59%"
"03/28/2023","5.020","4.960","5.110","4.930","1.84M","-0.40%"
"03/27/2023","5.040","4.990","5.060","4.775","2.45M","4.56%"
"03/24/2023","4.820","4.650","4.880","4.610","1.52M","0.84%"
"03/23/2023","4.780","5.010","5.140","4.735","2.97M","-3.04%"
"03/22/2023","4.930","5.030","5.190","4.930","4.41M","-2.38%"
"03/21/2023","5.050","4.670","5.110","4.670","4.65M","11.48%"
"03/20/2023","4.530","4.570","4.660","4.490","3.92M","-0.88%"
"03/17/2023","4.570","4.630","4.675","4.380","10.56M","-2.77%"
"03/16/2023","4.700","4.570","4.730","4.430","3.54M","1.08%"
"03/15/2023","4.650","4.890","4.950","4.500","5.25M","-9.18%"
"03/14/2023","5.120","5.200","5.430","5.020","2.96M","-0.19%"
"03/13/2023","5.130","5.230","5.340","4.985","4.23M","-4.29%"
"03/10/2023","5.360","5.380","5.630","5.320","3.66M","-0.92%"
"03/09/2023","5.410","5.830","5.890","5.410","4.08M","-6.88%"
"03/08/2023","5.810","5.750","5.875","5.550","3.59M","1.93%"
"03/07/2023","5.700","5.940","5.973","5.640","3.32M","-5.00%"
"03/06/2023","6.000","6.140","6.200","5.930","3.36M","-4.31%"
"03/03/2023","6.270","5.770","6.320","5.710","3.33M","6.27%"
"03/02/2023","5.900","5.770","5.969","5.670","2.34M","1.37%"
"03/01/2023","5.820","5.620","5.880","5.590","2.55M","3.74%"
"02/28/2023","5.610","5.810","5.910","5.600","5.07M","-2.09%"
"02/27/2023","5.730","5.650","5.790","5.550","1.91M","1.78%"
"02/24/2023","5.630","5.440","5.650","5.360","1.65M","1.81%"
"02/23/2023","5.530","5.460","5.575","5.400","2.35M","4.34%"
"02/22/2023","5.300","5.290","5.380","5.185","2.47M","-0.38%"
"02/21/2023","5.320","5.500","5.605","5.310","2.98M","-3.97%"
"02/17/2023","5.540","5.750","5.790","5.500","3.32M","-6.26%"
"02/16/2023","5.910","5.990","6.120","5.900","1.72M","-2.48%"
"02/15/2023","6.060","5.990","6.060","5.780","2.42M","-1.46%"
"02/14/2023","6.150","5.980","6.210","5.870","2.03M","1.32%"
"02/13/2023","6.070","6.150","6.160","5.850","2.59M","-1.78%"
"02/10/2023","6.180","5.880","6.200","5.760","3.57M","9.38%"
"02/09/2023","5.650","5.850","5.900","5.650","2.81M","-2.92%"
"02/08/2023","5.820","6.100","6.155","5.810","2.49M","-4.12%"
"02/07/2023","6.070","5.850","6.070","5.730","2.98M","5.20%"
"02/06/2023","5.770","5.850","5.990","5.700","2.01M","-1.20%"
"02/03/2023","5.840","5.760","6.170","5.750","3.00M","1.92%"
