Date,Close
2011. 10. 20 오후 3:30:00,100045
2011. 10. 21 오후 3:30:00,99600
2011. 10. 24 오후 3:30:00,99255
2011. 10. 25 오후 3:30:00,99450
2011. 10. 26 오후 3:30:00,99595
2011. 10. 27 오후 3:30:00,99440
2011. 10. 28 오후 3:30:00,99335
2011. 10. 31 오후 3:30:00,99830
2011. 11. 1 오후 3:30:00,100185
2011. 11. 2 오후 3:30:00,100255
2011. 11. 3 오후 3:30:00,100370
2011. 11. 4 오후 3:30:00,100215
2011. 11. 7 오후 3:30:00,100305
2011. 11. 8 오후 3:30:00,100555
2011. 11. 9 오후 3:30:00,100660
2011. 11. 10 오후 3:30:00,100845
2011. 11. 11 오후 3:30:00,100520
2011. 11. 14 오후 3:30:00,100205
2011. 11. 15 오후 3:30:00,100405
2011. 11. 16 오후 3:30:00,100805
2011. 11. 17 오후 3:30:00,100580
2011. 11. 18 오후 3:30:00,100745
2011. 11. 21 오후 3:30:00,100680
2011. 11. 22 오후 3:30:00,100825
2011. 11. 23 오후 3:30:00,100925
2011. 11. 24 오후 3:30:00,101040
2011. 11. 25 오후 3:30:00,100655
2011. 11. 28 오후 3:30:00,100580
2011. 11. 29 오후 3:30:00,100610
2011. 11. 30 오후 3:30:00,100855
2011. 12. 1 오후 3:30:00,100745
2011. 12. 2 오후 3:30:00,100825
2011. 12. 5 오후 3:30:00,100325
2011. 12. 6 오후 3:30:00,100295
2011. 12. 7 오후 3:30:00,100305
2011. 12. 8 오후 3:30:00,100140
2011. 12. 9 오후 3:30:00,100290
2011. 12. 12 오후 3:30:00,100250
2011. 12. 13 오후 3:30:00,100370
2011. 12. 14 오후 3:30:00,100425
2011. 12. 15 오후 3:30:00,100460
2011. 12. 16 오후 3:30:00,100400
2011. 12. 19 오후 3:30:00,99810
2011. 12. 20 오후 3:30:00,100120
2011. 12. 21 오후 3:30:00,100180
2011. 12. 22 오후 3:30:00,100170
2011. 12. 23 오후 3:30:00,100170
2011. 12. 26 오후 3:30:00,100175
2011. 12. 27 오후 3:30:00,100130
2011. 12. 28 오후 3:30:00,100280
2011. 12. 29 오후 3:30:00,100725
2012. 1. 2 오후 3:30:00,100630
2012. 1. 3 오후 3:30:00,100605
2012. 1. 4 오후 3:30:00,100540
2012. 1. 5 오후 3:30:00,100695
2012. 1. 6 오후 3:30:00,100780
2012. 1. 9 오후 3:30:00,100710
2012. 1. 10 오후 3:30:00,100655
2012. 1. 11 오후 3:30:00,100700
2012. 1. 12 오후 3:30:00,100735
2012. 1. 13 오후 3:30:00,100775
2012. 1. 16 오후 3:30:00,100795
2012. 1. 17 오후 3:30:00,100750
2012. 1. 18 오후 3:30:00,100795
2012. 1. 19 오후 3:30:00,100815
2012. 1. 20 오후 3:30:00,100620
2012. 1. 25 오후 3:30:00,100715
2012. 1. 26 오후 3:30:00,100750
2012. 1. 27 오후 3:30:00,100750
2012. 1. 30 오후 3:30:00,100985
2012. 1. 31 오후 3:30:00,101120
2012. 2. 1 오후 3:30:00,101155
