Date,Close
2011. 4. 15 오후 3:30:00,100065
2011. 4. 18 오후 3:30:00,100155
2011. 4. 19 오후 3:30:00,100190
2011. 4. 20 오후 3:30:00,100125
2011. 4. 21 오후 3:30:00,100050
2011. 4. 22 오후 3:30:00,100060
2011. 4. 25 오후 3:30:00,99960
2011. 4. 26 오후 3:30:00,100015
2011. 4. 27 오후 3:30:00,99985
2011. 4. 28 오후 3:30:00,100020
2011. 4. 29 오후 3:30:00,100160
2011. 5. 2 오후 3:30:00,100140
2011. 5. 3 오후 3:30:00,100175
2011. 5. 4 오후 3:30:00,100155
2011. 5. 6 오후 3:30:00,100300
2011. 5. 9 오후 3:30:00,100235
2011. 5. 11 오후 3:30:00,100285
2011. 5. 12 오후 3:30:00,100485
2011. 5. 13 오후 3:30:00,100580
2011. 5. 16 오후 3:30:00,100500
2011. 5. 17 오후 3:30:00,100630
2011. 5. 18 오후 3:30:00,100575
2011. 5. 19 오후 3:30:00,100625
2011. 5. 20 오후 3:30:00,100635
2011. 5. 23 오후 3:30:00,100575
2011. 5. 24 오후 3:30:00,100730
2011. 5. 25 오후 3:30:00,100725
2011. 5. 26 오후 3:30:00,100835
2011. 5. 27 오후 3:30:00,100850
2011. 5. 30 오후 3:30:00,100820
2011. 5. 31 오후 3:30:00,100950
2011. 6. 1 오후 3:30:00,100840
2011. 6. 2 오후 3:30:00,101005
2011. 6. 3 오후 3:30:00,101050
2011. 6. 7 오후 3:30:00,101050
2011. 6. 8 오후 3:30:00,100365
2011. 6. 9 오후 3:30:00,100460
2011. 6. 10 오후 3:30:00,100240
2011. 6. 13 오후 3:30:00,100235
2011. 6. 14 오후 3:30:00,100240
2011. 6. 15 오후 3:30:00,100285
2011. 6. 16 오후 3:30:00,100380
2011. 6. 17 오후 3:30:00,100405
2011. 6. 20 오후 3:30:00,100360
2011. 6. 21 오후 3:30:00,100400
2011. 6. 22 오후 3:30:00,100425
2011. 6. 23 오후 3:30:00,100475
2011. 6. 24 오후 3:30:00,100440
2011. 6. 27 오후 3:30:00,100400
2011. 6. 28 오후 3:30:00,100385
2011. 6. 29 오후 3:30:00,100365
2011. 6. 30 오후 3:30:00,100390
2011. 7. 1 오후 3:30:00,100375
2011. 7. 4 오후 3:30:00,100375
2011. 7. 5 오후 3:30:00,100405
2011. 7. 6 오후 3:30:00,100445
2011. 7. 7 오후 3:30:00,100415
2011. 7. 8 오후 3:30:00,100365
2011. 7. 11 오후 3:30:00,100440
2011. 7. 12 오후 3:30:00,100600
2011. 7. 13 오후 3:30:00,100675
2011. 7. 14 오후 3:30:00,100700
2011. 7. 15 오후 3:30:00,100715
2011. 7. 18 오후 3:30:00,100740
2011. 7. 19 오후 3:30:00,100730
