Date,Close
2014. 3. 24 오후 3:30:00,10000
2014. 3. 26 오후 3:30:00,10010
2014. 3. 28 오후 3:30:00,10010
2014. 3. 31 오후 3:30:00,10010
2014. 4. 1 오후 3:30:00,10015
2014. 4. 2 오후 3:30:00,10015
2014. 4. 3 오후 3:30:00,10015
2014. 4. 4 오후 3:30:00,10020
2014. 4. 7 오후 3:30:00,10025
2014. 4. 8 오후 3:30:00,10025
2014. 4. 9 오후 3:30:00,10020
2014. 4. 10 오후 3:30:00,10020
2014. 4. 11 오후 3:30:00,10025
2014. 4. 14 오후 3:30:00,10020
2014. 4. 16 오후 3:30:00,10025
2014. 4. 17 오후 3:30:00,10025
2014. 4. 18 오후 3:30:00,10025
2014. 4. 21 오후 3:30:00,10020
2014. 4. 22 오후 3:30:00,10020
2014. 4. 23 오후 3:30:00,10030
2014. 4. 24 오후 3:30:00,10030
2014. 4. 25 오후 3:30:00,10030
2014. 4. 28 오후 3:30:00,10020
2014. 4. 29 오후 3:30:00,10035
2014. 4. 30 오후 3:30:00,10035
2014. 5. 2 오후 3:30:00,10030
2014. 5. 7 오후 3:30:00,10030
2014. 5. 8 오후 3:30:00,10035
2014. 5. 9 오후 3:30:00,10035
2014. 5. 12 오후 3:30:00,10030
2014. 5. 13 오후 3:30:00,10040
2014. 5. 14 오후 3:30:00,10045
2014. 5. 15 오후 3:30:00,10045
2014. 5. 16 오후 3:30:00,10045
2014. 5. 19 오후 3:30:00,10035
2014. 5. 20 오후 3:30:00,10035
2014. 5. 21 오후 3:30:00,10050
2014. 5. 22 오후 3:30:00,10050
2014. 5. 23 오후 3:30:00,10045
2014. 5. 26 오후 3:30:00,10040
2014. 5. 27 오후 3:30:00,10045
2014. 5. 28 오후 3:30:00,10055
2014. 5. 29 오후 3:30:00,10045
2014. 5. 30 오후 3:30:00,10055
2014. 6. 2 오후 3:30:00,10055
2014. 6. 3 오후 3:30:00,10050
2014. 6. 5 오후 3:30:00,10045
2014. 6. 9 오후 3:30:00,10065
2014. 6. 10 오후 3:30:00,10065
2014. 6. 11 오후 3:30:00,10075
2014. 6. 13 오후 3:30:00,10080
2014. 6. 16 오후 3:30:00,10080
2014. 6. 17 오후 3:30:00,10080
2014. 6. 18 오후 3:30:00,10080
2014. 6. 19 오후 3:30:00,10085
2014. 6. 20 오후 3:30:00,10095
2014. 6. 23 오후 3:30:00,10095
